LONGITUDE	LATITUDE	LABEL	ELEVATION	KML_FOLDER	open
"64ø 13' 23.7164"" W"	"31ø 27' 58.7848"" S"	Av. Armada Argentina al 1500 (refugio)		L32 ida	1
"64ø 12' 58.5531"" W"	"31ø 27' 37.6823"" S"	Av. Armada Argentina Canal de Los Olmos(refugio)		L32 ida	1
"64ø 12' 54.5085"" W"	"31ø 27' 31.9487"" S"	Cacheuta al 4300		L32 ida	1
"64ø 12' 52.4544"" W"	"31ø 27' 24.3743"" S"	Cacheuta al 4100		L32 ida	1
"64ø 12' 48.8698"" W"	"31ø 27' 16.7993"" S"	Cacheuta 4000		L32 ida	1
"64ø 12' 45.9080"" W"	"31ø 27' 6.7292"" S"	Cacheuta al 3800		L32 ida	1
"64ø 12' 43.5381"" W"	"31ø 26' 58.0769"" S"	Cacheuta al 3600		L32 ida	1
"64ø 12' 40.3316"" W"	"31ø 26' 47.5062"" S"	Cacheuta al 3300		L32 ida	1
"64ø 12' 30.8858"" W"	"31ø 26' 42.8041"" S"	Manuel Baigorria y Ramon Aguirre		L32 ida	1
"64ø 12' 26.6828"" W"	"31ø 26' 35.0114"" S"	Pedro de Mendoza al 2800		L32 ida	1
