stop_id,stop_lat,stop_lon,stop_calle,stop_esquina
8539,-31.48451082189271,-64.24441206554637,Av Armada Argentina 3027,Esq. Cipoletti
8540,-31.48181525485591,-64.24163400915022,Av Armada Argentina 2711,Esq. Usuahia
8541,-31.47701063908042,-64.23582655258933,Av Armada Argentina 2300,Esq. Yocsina
8542,-31.4592069423808,-64.21324614399286,Llao Llao 4270,Entre Av. Armada Argentina Y Las Vegas
8543,-31.46072076182164,-64.21185443372076,Puente Del Inca 815,Entre Llao Llao Y Esquel
8544,-31.46139929517717,-64.20961731148527,Bermudas 623,Entre Punta Del Este Y Acapulco
8545,-31.46191420741113,-64.20712988057551,Bermudas 400,Esq. Tenerife
8546,-31.46078048488553,-64.20703222150355,Capri 4391,Entre Mar De Ajo Y Niza
7836,-31.45929404265981,-64.20666200915333,Capri 4250,Entre Niza Y Montecarlo (Plaza)
8547,-31.45896467686976,-64.20474826355037,Bariloche 325,Esq. Bahamas
8548,-31.4570362844975,-64.20401581314174,Bahamas 4033,Esq. Entre Monaco Y El Tirol
7840,-31.45660557598199,-64.20344674367811,El Tirol 200,Esq. Viña Del Mar
8549,-31.45560359363578,-64.20296533577695,Viña Del Mar 3913,Esq. Ostende
7841,-31.4550293720235,-64.20283890490379,Viña Del Mar 3855,Esq. Viedma
7842,-31.45291395905962,-64.20229204566012,Viña Del Mar 3710,Esq. Pastor Taboada
8550,-31.43319766230566,-64.19332974443824,Av Velez Sarsfield 1570,Plaza De Las Americas (Fte. Inti)
8551,-31.41343433107901,-64.18603837913324,Gral. Paz 147,Entre Av. Colon Y 9 De Julio
7172,-31.42101518143972,-64.18850763417329,Av. Hipolito Yrigoyen 56,Esq. Montevideo
7173,-31.42505496311865,-64.18660745531125,Av. Hipolito Yrigoyen 386,Esq. Buenos Aires
7174,-31.42748048393525,-64.18545794565047,Av. Hipolito Yrigoyen 552,Esq. Larrañaga
8552,-31.42921398574729,-64.1862572189252,Av Ambrosio  Olmos 600,Esq. Ituzaingo
8553,-31.4308370796669,-64.18994376912201,Av Ambrosio  Olmos 600,Esq. Independencia
8554,-31.4320901719803,-64.19254763939536,Av Ambrosio  Olmos 600,Entre Santiago Temple E Independencia
7481,-31.45188355563503,-64.20060515057132,Av. Velez Sarsfield 3620,Esq. Dr. Oscar Cocca
8555,-31.45277450523972,-64.20196387653262,Pastor Toboada 186,Esq. Viña Del Mar
7828,-31.45339421183901,-64.20251277964576,Viña Del Mar 3742,Esq. Viedma
7829,-31.45478413695373,-64.20288977990869,Viña Del Mar 3840,Esq. Ostende
7830,-31.45645880441979,-64.20333233342733,Viña Del Mar 3994,Entre El Tirol Y Bariloche
8556,-31.45864100546782,-64.2059206894632,Bariloche 430,Entre Bahamas Y Capri
8557,-31.4608448722826,-64.2071276136634,Capri 4400,Esq. Mar De Ajo
8558,-31.46175965590291,-64.20682244259454,Tenerife 4488,Esq. Bermudas
8559,-31.46129308806349,-64.20982728653566,Bermudas 670,Entre Acapulco Y Punta Del Este
8560,-31.46029160453899,-64.21104557283954,Esquel 4451,Entre Bermudas Y Las Vegas
