"stop_id","stop_name","stop_calle","stop_numero","stop_entre","stop_lat","stop_lon"
3386,"C3386","Martinolli",5149,"Astrada de Ponce y Laplace",-31.357061,-64.24248
3387,"C3387","Martinolli",5326,"Astrada de Ponce y Evang. Torricelli",-31.35485,-64.245804
3388,"C3388","Martinolli",5631,"Papin y Gauss",-31.352752,-64.248259
806,"C0806","Pasteur",3125,"Riga y Sin Datos",-31.44496,-64.23936
807,"C0807","Pasteur",3011,"Marcelino Augier y Maugier",-31.44353,-64.23936
3389,"C3389","Pringles",,"Lima y Catamarca",-31.412583,-64.167713
3390,"C3390","Pringles",1019,"Ibarbalz y Juan de Garay",-31.406031,-64.170073
3391,"C3391","Pringles",1290,"Charcas y Cochabamba",-31.403185,-64.171181
3392,"C3392","Potosi",1392,"Jacinto Rios y Viamonte",-31.401047,-64.169785
3393,"C3393","Antartida",2703,"Padre Lozano y Lafore",-31.440267,-64.223517
3394,"C3394","Antartida",2680,"Lafore y Padre Lozano",-31.440267,-64.223517
3395,"C3395","Valparaiso",,"Fte. Ciencias Economicas",-31.435495,-64.185327
3396,"C3396","Valparaiso",,"Fte. Esc. Enfermeria",-31.43827,-64.186078
3397,"C3397","Filloy",,"Fte. Comedor Universitario",-31.4405,-64.189556
3398,"C3398","Filloy",,"Fte. Comedor Universitario",-31.4405,-64.189556
3399,"C3399","Valparaiso",,"Fte. Esc. Enfermeria",-31.43827,-64.186078
3400,"C3400","Valparaiso",,"Fte. Ciencias Economicas",-31.435495,-64.185327
3401,"C3401","Belgrano",1421,"Richardson y Temple",-31.431248,-64.195038
3402,"C3402","Belgrano",1275,"Lacosta y Peru",-31.429456,-64.194287
3403,"C3403","Belgrano",1039,"Brasil y Peredo",-31.426849,-64.193198
3404,"C3404","Medina Allende",,"Esq. Haya de la Torre",-31.435971,-64.191728
3405,"C3405","Medina Allende",,"Esq. Hayta de la Torre",-31.436019,-64.191926
3406,"C3406","Venezuela",15,"Parque de las Tejas",-31.434143,-64.188627
3407,"C3407","Venezuela",55,"Buenos Aires y Pje. España",-31.433116,-64.190122
3408,"C3408","Richardson",70,"Independencia y Olmos",-31.432491,-64.192059
3409,"C3409","Bajada de Piedras",,"Esq. Castañares",-31.408711,-64.150293
3410,"C3410","Bajada de Piedras",,"Olivera y Cavero",-31.406557,-64.147513
3411,"C3411","Bajada de Piedras",,"Pasando Victor Manuel III",-31.405357,-64.142766
3412,"C3412","Bajada de Piedras",,,-31.404098,-64.140543
3413,"C3413","Bajada de Piedras",,,-31.403185,-64.137989
3414,"C3414","Bajada de Piedras",,,-31.403364,-64.13569
3415,"C3415","Bajada de Piedras",,,-31.403631,-64.132237
3416,"C3416","Bajada de Piedras",,,-31.403185,-64.128055
3417,"C3417","Bajada de Piedras",,,-31.402259,-64.122503
3418,"C3418","Bajada de Piedras",,,-31.40184,-64.106063
3419,"C3419","Bajada de Piedras",,,-31.403399,-64.089592
3420,"C3420","Bajada de Piedras",,,-31.408596,-64.066812
3421,"C3421","Bajada de Piedras",,,-31.406289,-64.065557
