stop_id,stop_calle,stop_numero,stop_frente,stop_esquina,stop_entre_a,stop_entre_b,stop_lat,stop_lon
5572,Rancagua,3276,,,José Melián,José de Arredondo,-31.3737218621836,-64.14773763883689
5571,Rancagua,2929,,,Luis Vernet,Federico Rauch,-31.37597757950577,-64.14774098179656
5570,Rancagua,2648,,Ramón Lista,Capdevila,Ramón Lista,-31.37920916987444,-64.14776450127881
4101,Colón,635,,,Fragueiro,Marcelo T de Alvear,-31.41123011181422,-64.19177403624818
4100,Colón,,1118,,Coronel Olmedo,Mendoza,-31.40923349760763,-64.19844958892732
4103,Colón,45,,,Rivera Indarte,San Martín,-31.41365543013352,-64.18359626469916
4102,Colón,335,,,Sucre,Tucumán,-31.41246647984475,-64.18771718783101
4105,Obispo Salguero,,67,,Rosario de Sta Fé,San Jerónimo,-31.41835532503465,-64.17909046891701
4104,Olmos,,338,,Maipú,Salta,-31.41510839033846,-64.17869682455921
4107,Obispo Salguero,524,,,Rondeau,San Lorenzo,-31.42415339633799,-64.18156861476751
4106,Obispo Salguero,346,,,Corrientes,Illia,-31.42182029519193,-64.1805599917863
4109,Hipólito Irigoyen,646,,,Plaza España,Crisol,-31.42989004798223,-64.18447577732266
4108,Obispo Salguero,778,,,Obispo Oro,Derqui,-31.42690177113341,-64.18269932899712
4079,Santiago Baravino,,,Damián Garat,,,-31.3620126894536,-64.21288362972328
4078,Roberto Cayol,3119,,,Piacenza ,Baravino,-31.36089785598245,-64.21363062487409
4075,Roberto Cayol,3407,,,Ocampo,Pagano,-31.36013886292794,-64.21912120549587
4074,Roberto Cayol,,,Miguel Caminos,,,-31.35970836001014,-64.22148505960821
4077,Roberto Cayol,3229,,,Camaño Bazán,Piacenza ,-31.36069722455988,-64.21524688837412
4076,Roberto Cayol,3313,,,Pagano,Camaño Bazán,-31.36039606228644,-64.21734022717946
4071,Grandi,4003,,,Manuel Gutierrez,Spilimbergo,-31.35626059350282,-64.22623127316999
4070,Manuel Gutierrez,,,Grandi,,,-31.35629680524564,-64.22782509170422
4073,Roberto Cayol,3809,,,Cortazar,Essain,-31.35943057448771,-64.22326575518073
4072,Spilimbergo,,,Buffo,,,-31.35779610265361,-64.22611655834633
4462,Diego Díaz,212,,,Toledo de Pimentel,Monseñor Pablo Cabrera,-31.36453620816904,-64.20415718416974
